week_id,team_home_id,team_home_name,team_away_id,team_away_name,date,heure
1,7,Basket Landes,3,Landerneau BB,01/10/25,19:30:00
1,1,Chartres BL,6,Tango Bourges,01/10/25,19:30:00
1,5,Lyon ASVEL,12,Charnay BBS,01/10/25,19:30:00
1,9,Roche Vendée,11,UF Angers,01/10/25,19:30:00
1,8,Charleville ,2,Montpellier,01/10/25,19:30:00
2,4,Toulouse MB,9,Roche Vendée,04/10/25,20:00:00
2,11,UF Angers,5,Lyon ASVEL,04/10/25,20:00:00
2,12,Charnay BBS,1,Chartres BL,04/10/25,20:00:00
2,6,Tango Bourges,7,Basket Landes,04/10/25,20:00:00
2,3,Landerneau BB,8,Charleville ,04/10/25,20:00:00
2,2,Montpellier,10,Villeneuve      ,04/10/25,20:00:00
3,5,Lyon ASVEL,4,Toulouse MB,10/10/25,20:00:00
3,8,Charleville,6,Tango Bourges,10/10/25,20:00:00
3,1,Chartres BL,11,UF Angers,10/10/25,20:00:00
3,9,Roche Vendée,2,Montpellier,10/10/25,20:00:00
3,7,Basket Landes,12,Charnay BBS,10/10/25,20:00:00
3,10,Villeneuve,3,Landerneau BB,10/10/25,20:00:00
4,10,Villeneuve,6,Tango Bourges,18/10/25,19:00:00
4,12,Charnay BBS,8,Charleville,18/10/25,19:00:00
4,4,Toulouse MB,1,Chartres BL,18/10/25,19:00:00
4,3,Landerneau BB,9,Roche Vendée,18/10/25,19:00:00
4,11,UF Angers,7,Basket Landes,18/10/25,19:00:00
4,2,Montpellier,5,Lyon ASVEL,18/10/25,19:00:00
5,8,Charleville,11,UF Angers,25/10/25,20:00:00
5,1,Chartres BL,2,Montpellier,25/10/25,20:00:00
5,5,Lyon ASVEL,3,Landerneau BB,25/10/25,20:00:00
5,6,Tango Bourges,9,Roche Vendée,25/10/25,20:00:00
5,7,Basket Landes,4,Toulouse MB,25/10/25,20:00:00
5,10,Villeneuve,12,Charnay BBS,25/10/25,20:00:00
6,2,Montpellier,7,Basket Landes,01/11/25,19:00:00
6,11,UF Angers,10,Villeneuve,01/11/25,19:00:00
6,4,Toulouse MB,8,Charleville,01/11/25,19:00:00
6,3,Landerneau BB,1,Chartres BL,01/11/25,19:00:00
6,6,Tango Bourges,5,Lyon ASVEL,01/11/25,19:00:00
6,12,Charnay BBS,9,Roche Vendée,01/11/25,19:00:00
7,5,Lyon ASVEL,8,Charleville,07/11/25,20:00:00
7,1,Chartres BL,7,Basket Landes,07/11/25,20:00:00
7,9,Roche Vendée,10,Villeneuve,07/11/25,20:00:00
7,11,UF Angers,4,Toulouse MB,07/11/25,20:00:00
7,12,Charnay BBS,2,Montpellier,07/11/25,20:00:00
7,6,Tango Bourges,3,Landerneau BB,07/11/25,20:00:00
8,10,Villeneuve,5,Lyon ASVEL,29/11/25,19:00:00
8,8,Charleville,1,Chartres BL,29/11/25,19:00:00
8,3,Landerneau BB,11,UF Angers,29/11/25,19:00:00
8,4,Toulouse MB,12,Charnay BBS,29/11/25,19:00:00
8,7,Basket Landes,9,Roche Vendée,29/11/25,19:00:00
8,2,Montpellier,6,Tango Bourges,29/11/25,19:00:00
9,9,Roche Vendée,5,Lyon ASVEL,06/12/25,19:00:00
9,1,Chartres BL,10,Villeneuve,06/12/25,19:00:00
9,7,Basket Landes,8,Charleville,06/12/25,19:00:00
9,6,Tango Bourges,4,Toulouse MB,06/12/25,19:00:00
9,3,Landerneau BB,2,Montpellier,06/12/25,19:00:00
9,11,UF Angers,12,Charnay BBS,06/12/25,19:00:00
10,5,Lyon ASVEL,1,Chartres BL,12/12/25,20:00:00
10,8,Charleville,9,Roche Vendée,12/12/25,20:00:00
10,4,Toulouse MB,3,Landerneau BB,12/12/25,20:00:00
10,10,Villeneuve,7,Basket Landes,12/12/25,20:00:00
10,2,Montpellier,11,UF Angers,12/12/25,20:00:00
10,12,Charnay BBS,6,Tango Bourges,12/12/25,20:00:00
11,7,Basket Landes,5,Lyon ASVEL,21/12/25,15:15:00
11,1,Chartres BL,9,Roche Vendée,21/12/25,15:15:00
11,2,Montpellier,4,Toulouse MB,21/12/25,15:15:00
11,8,Charleville,10,Villeneuve,21/12/25,15:15:00
11,6,Tango Bourges,11,UF Angers,21/12/25,15:15:00
11,3,Landerneau BB,12,Charnay BBS,21/12/25,15:15:00
12,4,Toulouse MB,10,Villeneuve,04/01/26,15:30:00
12,2,Montpellier,8,Charleville,04/01/26,15:30:00
12,7,Basket Landes,3,Landerneau BB,04/01/26,15:30:00
12,11,UF Angers,9,Roche Vendée,04/01/26,15:30:00
12,6,Tango Bourges,1,Chartres BL,04/01/26,15:30:00
12,12,Charnay BBS,5,Lyon ASVEL,04/01/26,15:30:00
13,9,Roche Vendée,4,Toulouse MB,07/01/26,19:00:00
13,5,Lyon ASVEL,11,UF Angers,07/01/26,19:00:00
13,1,Chartres BL,12,Charnay BBS,07/01/26,19:00:00
13,7,Basket Landes,6,Tango Bourges,07/01/26,19:00:00
13,8,Charleville ,3,Landerneau BB,07/01/26,19:00:00
13,10,Villeneuve      ,2,Montpellier,07/01/26,19:00:00
14,4,Toulouse MB,5,Lyon ASVEL,10/01/26,19:00:00
